energy,IBD
1.9075,2.0050006667982675584926424334931457721348649418051e-44
1.908,2.0120029751094444814617257615582907701665817315673e-44
1.9085,2.0190039258334321074695154383500291710186349873435e-44
1.909,2.0260035746176767147569156764233752831498608377645e-44
1.9095,2.0330019763733022240502299455437648857369278963323e-44
1.91,2.0399991852880720032357840536038745963619566021443e-44
1.9105,2.0469952548390820067411757545257433597430296721226e-44
1.911,2.0539902378051556271267210457042180487101752892205e-44
1.9115,2.0609841862789974034418861368030420855662947534995e-44
1.912,2.0679771516790506508822076603770891637667250076461e-44
1.9125,2.0749691847611156999344277824414566121066490575273e-44
1.913,2.0819603356296982368456645581747261893619207542466e-44
1.9135,2.088950653749143984000948767501706188876811452606e-44
1.914,2.0959401879545039745376169832509515477617707984792e-44
1.9145,2.1029289864621862646325246692687203659858338530628e-44
1.915,2.1099170968803628070598200670231306059995400521383e-44
1.9155,2.1169045662191869413133584585861813459264646456331e-44
1.916,2.1238914409007650496349985742272937399188863482688e-44
1.9165,2.1308777667689374912366120341305846083902268037022e-44
1.917,2.1378635890988368695891524771631623313574126791479e-44
1.9175,2.1448489526062784098378831065986932068159780064757e-44
1.918,2.1518339014569253796898577451521339613007900909179e-44
1.9185,2.1588184792752840323724585603504092285967433654805e-44
1.919,2.1658027291534955423573926952881849401029069771286e-44
1.9195,2.1727866936599791229435123333826507769467571505108e-44
1.92,2.1797704148478687184762914946573919454378789456893e-44
1.9205,2.1867539342632972000049011425622306047168508516987e-44
1.921,2.1937372929534950228932314151381319269259334374034e-44
1.9215,2.2007205314747570253351145124084250067255166362507e-44
1.922,2.2077036899002192840370573705450324152635130537213e-44
1.9225,2.2146868078274994785219092474698423472723734546199e-44
1.923,2.2216699243861672718478257982132314370254826925271e-44
1.9235,2.2286530782450979438603601189145201637759021409865e-44
1.924,2.2356363076196507712179594431151076912890280604024e-44
1.9245,2.2426196502787251910685460294907707789264373652618e-44
1.925,2.2496031435516608580162859256154819952135633860904e-44
1.9255,2.2565868243350344460682371742874127448303237006592e-44
1.926,2.2635707290992943142082604036340681645471763863087e-44
1.9265,2.2705548938952857124582545792891551185649876714709e-44
1.927,2.2775393543606322849628914313260939430491572770778e-44
1.9275,2.284524145726026388194120200643141947519394141302e-44
1.928,2.2915093028213690069465388949357487513598316707207e-44
1.9285,2.2984948600818116325323722550819111003127913321931e-44
1.929,2.305480851553665545292710969331385968792391545316e-44
1.9295,2.3124673109002307303097398660938737775862455556143e-44
1.93,2.3194542714074849068584176101839632646354731602247e-44
1.9305,2.3264417659896847651517547289985807902331300938561e-44
1.931,2.3334298271948445713485113242097379559907215223516e-44
1.9315,2.3404184872101441193613106795321592701872155335422e-44
1.932,2.3474077778672062368119406445928718683080951306586e-44
1.9325,2.3543977306472957043185388883750223698523487761707e-44
1.933,2.3613883766864044965977745644050107348699500919251e-44
1.9335,2.3683797467802751077075831261365348366932980277416e-44
1.934,2.3753718713893019193535980652803942485855425825819e-44
1.9345,2.3823647806433622691703292826577856368977410140008e-44
1.935,2.3893585043465418997011763918861364288509226770411e-44
1.9355,2.3963530719818063642572269567278326719121976459426e-44
1.936,2.4033485127155581213632489723239889975178955609366e-44
1.9365,2.4103448554021308007445101016634525363294539658463e-44
1.937,2.41734212858818511517877554414280471650704459189e-44
1.9375,2.4243403605170578348077703349666344616127773191696e-44
1.938,2.4313395791330033465689062149547819707965993674096e-44
1.9385,2.4383398120853760238391879022576153700109090892393e-44
1.939,2.4453410867327394553881692330192642595673515946146e-44
1.9395,2.4523434301468885260754844688183150862872928759036e-44
1.94,2.4593468691168324919711075984604889993941802507165e-44
1.9405,2.4663514301526783328654966168670632161156851519623e-44
1.941,2.4733571394894655610513487710163626339717039102794e-44
1.9415,2.4803640230909165600933105445793416301034873259639e-44
1.942,2.487372106653153593167981660579455725666477918974e-44
1.9425,2.4943814156083215868060787361252184621995579234721e-44
1.943,2.501391975128167766617050373482160007297848557562e-44
1.9435,2.5084038101275420637954372297754577431982072732042e-44
1.944,2.5154169452678693397849416285309230455805912096603e-44
1.9445,2.52243140496053236876958339862323283527102688023e-44
1.945,2.5294472133702165694240531446120844433955543214476e-44
1.9455,2.5364643944181802613980570270806092356942432521541e-44
1.946,2.5434829717855014178761109520000073655822859930911e-44
1.9465,2.5505029689162396971012390137648147953913387559286e-44
1.947,2.5575244090205646745005186439641211851550301347615e-44
1.9475,2.564547315077813917620156517327519480042611852018e-44
1.948,2.5715717098395318136691363952679676772010787894104e-44
1.9485,2.5785976158324277837887695200003706111735083413357e-44
1.949,2.5856250553613047496716897479283960038485598437649e-44
1.9495,2.5926540505119213701990102382236599842083478270961e-44
1.95,2.5996846231538389093730380499178979364178959985601e-44
1.9505,2.6067167949431912277174223917890864668320105376852e-44
1.951,2.6137505873254287191529819265183964319979892431758e-44
1.9515,2.6207860215379995940543255969752630898131987823543e-44
1.952,2.6278231186130193329720228681860945244665971071523e-44
1.9525,2.6348618993798666670490289061692436393171880902019e-44
1.953,2.6419023844677568747096890555015691542768168255353e-44
1.9535,2.6489445943082556849369596888172397040928146813138e-44
1.954,2.6559885491377845854222067519059762211730049386556e-44
1.9545,2.6630342690000557603899757360697602865765720095401e-44
1.955,2.6700817737484874253620778414957188330925522449195e-44
1.9555,2.6771310830485627444904191596111194374683077870222e-44
1.956,2.6841822163801831121321526305069809285133233644959e-44
1.9565,2.6912351930399538963932820669498592421012909794134e-44
1.957,2.6982900321434533987625918878731422511189492387257e-44
1.9575,2.7053467526274481157239186282987290881889240810962e-44
1.958,2.7124053732521050761128558352837105424964091731741e-44
1.9585,2.7194659126031392283531522523862287203770044760127e-44
1.959,2.7265283890939466268878081954548887961702252078514e-44
1.9595,2.7335928209676864082348634462158309272046067495291e-44
1.96,2.7406592262993623304445398084390632055304482409102e-44
1.9605,2.7477276229978417294110015066649378571290944422384e-44
1.961,2.7547980288078626441409925924682389089013952007781e-44
1.9615,2.7618704613119920096572590915224948175087304684308e-44
1.962,2.7689449379325856985448555949313883349124472361189e-44
1.9625,2.7760214759336881463200997730541562211310730368768e-44
1.963,2.7831000924229223224466639537732902671983965795669e-44
1.9635,2.7901808043533328571258663057158733104449256418622e-44
1.964,2.797263628525233118701204645669390838351371785055e-44
1.9645,2.80434858158799386055740935661472467367216781887e-44
1.965,2.8114356800418242154084983476709024073617144748576e-44
1.9655,2.8185249402395077613107406710357127780930144865854e-44
1.966,2.8256163783881444741198602835383870361521046745679e-44
1.9665,2.8327100105508360705698961579609702730221586181869e-44
