energy,IBD
1.875,1.5387543173589686728053593681216547949343269901603e-44
1.8755,1.5458692222817518252576211340596505566282717841293e-44
1.876,1.5529773894228028879314321051427093570849432075956e-44
1.8765,1.5600789616319230413036570066246791799728725866149e-44
1.877,1.5671740791285364984447181267388852245293462299151e-44
1.8775,1.5742628795668507947423191205829594953707758244067e-44
1.878,1.5813454980989518905944830807778942447001015675317e-44
1.8785,1.5884220674359611464323451826761467995740911611327e-44
1.879,1.5954927179072896203168719215041641188326832512105e-44
1.8795,1.6025575775181099987536816567907231120884606586814e-44
1.88,1.6096167720050502858273271838216786260578812196236e-44
1.8805,1.6166704248902236113000565721007861439988538996532e-44
1.881,1.6237186575336178394404691764842755655572224996322e-44
1.8815,1.6307615891839538199294556354601015807511393144596e-44
1.882,1.6377993370280058607534520507029513254986458546228e-44
1.8825,1.644832016238488398990145554168139565885893505392e-44
1.883,1.6518597400205229432929132145971297772261311834172e-44
1.8835,1.6588826196567847251943575548397234161524377135403e-44
1.884,1.6659007645513140152621812409492251895956541122057e-44
1.8845,1.6729142822720875418197112550345159522034437704379e-44
1.885,1.6799232785923562014507174726003435961365107974151e-44
1.8855,1.6869278575308407470590344239217775905844401253131e-44
1.886,1.6939281213907633216926002012839063064202967250981e-44
1.8865,1.7009241707978032200453586869879936064232427017124e-44
1.887,1.7079161047369765647454761217297817478017740510763e-44
1.8875,1.7149040205885251625635595422493695028054835672936e-44
1.888,1.7218880141627865556500324170927589760803715321794e-44
1.8885,1.7288681797341277907846261045769500030114506766254e-44
1.889,1.7358446100739372066020550013316834639850688128407e-44
1.8895,1.7428173964827541606214897213886062890839997778609e-44
1.89,1.7497866288215038556926103849606278508474401518047e-44
1.8905,1.7567523955419149015306302812113119354984927652804e-44
1.891,1.7637147837161094279561289383678892312106656578759e-44
1.8915,1.7706738790654412052142548670709619040560387327384e-44
1.892,1.7776297659885448854241398386977795169480246933491e-44
1.8925,1.7845825275886699064058229464189692946672875400908e-44
1.893,1.7915322457002851273065267870693048990689119885358e-44
1.8935,1.7984790009150259022770172227551522576876081894285e-44
1.894,1.8054228726069433212730810097387656441914577174507e-44
1.8945,1.8123639389571257150740376211364044801493638545941e-44
1.895,1.8193022769776753490973482020453827792959287122489e-44
1.8955,1.8262379625351088528386750335888235261743643905008e-44
1.896,1.8331710703731382701500098475132151945660778244371e-44
1.8965,1.8401016741348999191606915006483982677974235386939e-44
1.897,1.847029846384611336586171760183562564879920936268e-44
1.8975,1.8539556586287221808963456376438813501322274754886e-44
1.898,1.8608791813365135807584938110837701828241191621246e-44
1.8985,1.8678004839602106529050704254785082851694178929383e-44
1.899,1.8747196349545862228093429754819396425643053186937e-44
