energy,IBD
1.806,0
1.8065,1.364274777331496556943644190617763191128396008904e-45
1.807,1.7066528488307358151907971350372714702281909108827e-45
1.8075,2.0048580125706117409040177393242913067548227574792e-45
1.808,2.2718697365474346231517551582828176825345110001104e-45
1.8085,2.5155429171060752186261341106528775849427889744804e-45
1.809,2.741011117793352158950801727967524860841457213998e-45
1.8095,2.951825329214589045838804520703819582062213514042e-45
1.81,3.1505513789820941826564204941727204167789180612597e-45
1.8105,3.3391084578879189817617977013547357316286971907099e-45
1.811,3.518972923331291803508081697583291024779463059323e-45
1.8115,3.6913071434367697480866669750781234944813940831987e-45
1.812,3.8570443045117126123031106998711197603557097204504e-45
1.8125,4.0169461549308598075501316551180556207511051243277e-45
1.813,4.1716434717498174240646846999784463176155038119435e-45
1.8135,4.3216651328382384875747072459336812321343517430639e-45
1.814,4.4674594597025293097335871018542818582008448325026e-45
1.8145,4.6094101866115914579206393657792748859468381918592e-45
1.815,4.7478486118101756277411426926010522045338485158708e-45
1.8155,4.8830629834045795347382369469015297066091092548677e-45
1.816,5.0153058475077332410160604599584737577569302933042e-45
1.8165,5.1447998713431254773408040600823380226506338928658e-45
1.817,5.2717425089058896468600260455922643579959729041702e-45
1.8175,5.3963097769145297576300141238717562024067261942016e-45
1.818,5.5186593388644143643159515614452834702039758371117e-45
1.8185,5.638933045254021233536653518676352492381976251211e-45
1.819,5.7572590421627511448610815930962159588308068422332e-45
1.8195,5.8737535341089825305751076346568043235489914479135e-45
1.82,5.9885222676882860924641373462477744376706135016726e-45
1.8205,6.1016617879426869943689568711819248635611009330602e-45
1.821,6.213260508406855439255620754481390293508857210896e-45
1.8215,6.3233996273662340204967067318665545065464070149981e-45
1.822,6.4321539163805807658009553991538218400269969313829e-45
1.8225,6.5395924020835796862602969635077011203551236962312e-45
1.823,6.6457789583189668484270811290895726829958438266806e-45
1.8235,6.7507728225512584295293174425854468804854910102512e-45
1.824,6.8546290480090706585048280996007673182610776847076e-45
1.8245,6.9573989010307246863228921855399281036576077679413e-45
1.825,7.0591302114823697282764418904616663658856826975625e-45
1.8255,7.1598676828198939085146195033424794802883693292501e-45
1.826,7.2596531673102649318498911054225066573110197967342e-45
1.8265,7.3585259110603867302516667965671654179004584717673e-45
1.827,7.4565227727894400178159068840871145991913720121592e-45
1.8275,7.5536784196887930568721905455167176574643460702825e-45
1.828,7.6500255032244859991767711954940815523324826241156e-45
1.8285,7.7455948173264004525118794343480856122078208539817e-45
1.829,7.8404154410659868863095826574828321574561462482215e-45
1.8295,7.9345148676337988089626638681049185519864644913224e-45
1.83,8.0279191211853722090356801366546146330521261266832e-45
1.8305,8.120652862915676531737600838486543655554408486219e-45
1.831,8.2127394875472816890239355667193840561422207028259e-45
1.8315,8.3042012112654074109007545876823126440976219696833e-45
1.832,8.3950591520056173977535496689090169869619403153883e-45
1.8325,8.4853334028880202994172134994260081492859833145244e-45
1.833,8.5750430994975429070536591557343949748095924089904e-45
1.8335,8.664206481625914626801534875657129285272263138428e-45
1.834,8.7528409500209860303775393253066776381840897381576e-45
1.8345,8.8409631186257851598349020598721279291344534870666e-45
1.835,8.9285888627367341736540454208466244148320901818692e-45
1.8355,9.0157333634617996145617027661555049398144591275432e-45
