energy,IBD
1.806,0
1.8065,1.0394348535130417116810622414667159656285832498925e-45
1.807,1.5268644223143011343455908510317438697310396841379e-45
1.8075,1.894265223852850764455740711140010438323883388125e-45
1.808,2.2025476321365073708860030582222753982211274354146e-45
1.8085,2.4739148959736850413186815025315396333246435282917e-45
1.809,2.7194431822218555861282991581301987883815781427647e-45
1.8095,2.945603329099047775651654798362999477684565886074e-45
1.81,3.1565633453199182689502816326236593477340924495656e-45
1.8105,3.3551936998707353267498274063154172620249198847943e-45
1.811,3.5435703489468820477574687435748853146088999918794e-45
1.8115,3.7232518505553928233956370485441242936810166353845e-45
1.812,3.8954434122187378255274531336038342054670126543008e-45
1.8125,4.0610996018891620292848851804459523307747592692309e-45
1.813,4.2209916139399304613232857221727492850160450411268e-45
1.8135,4.375752980083696869475832790505399611876395975456e-45
1.814,4.5259116078818892613539457965238458150207230332633e-45
1.8145,4.6719128341261498084419107862207996703203936902552e-45
1.815,4.8141363922917277717109348799787133011018287046598e-45
1.8155,4.9529091487936153191393101980043662898716404402081e-45
1.816,5.0885148297690464406966581877668834081152266854931e-45
1.8165,5.2212015639824286688739117753231380124596992723907e-45
1.817,5.3511878124992286171821070852272059180805318419313e-45
1.8175,5.4786670875531407084366560919655782319382502214717e-45
1.818,5.6038117495522143176100477082848059357947326954266e-45
1.8185,5.7267760930765893341694776740703326990692365800073e-45
1.819,5.8476988780107111173757747251361985298682851971202e-45
1.8195,5.966705422990534806670468607311030291609874623623e-45
1.82,6.0839093501894860273290566176620446105969862486294e-45
1.8205,6.1994140498352360768871089742700740011785157598436e-45
1.821,6.3133139175465314458023063490528822604159211704479e-45
1.8215,6.4256954060926605315299830360076150338267040159907e-45
1.822,6.5366379244692434611019554812650579862675357673387e-45
1.8225,6.6462146105102032354863014696933383286137722362463e-45
1.823,6.7544929980989685659983640314790428901218038349474e-45
1.8235,6.8615355960181983895023673697518837122913017223553e-45
1.824,6.9674003923177966242961367963246859077803427756117e-45
1.8245,7.0721412955760898731234337644380370821032533057388e-45
1.825,7.1758085224337042092443199277968665676349037954083e-45
1.8255,7.2784489391749503717944777367461699951482671032309e-45
1.826,7.3801063638381353787551860572295539979225084904694e-45
1.8265,7.4808218342824207137765017584031305467915448717297e-45
1.827,7.5806338467799841688165995811721019877554831771646e-45
1.8275,7.6795785689939441392223216400860428492950261224182e-45
1.828,7.7776900306206193896857734598409432192775113660992e-45
1.8285,7.8750002944893255426882127539245412010856658340919e-45
1.829,7.9715396105106575730989524109260616288246459560151e-45
1.8295,8.0673365545249041427902660778555970673860895670426e-45
1.83,8.1624181538199404191569216547045975090372839484864e-45
1.8305,8.2568100008472029274597840821271529606510794654866e-45
1.831,8.3505363564626592091319666816595515511729483617446e-45
1.8315,8.443620243845705662389093175664101356112452942331e-45
1.832,8.5360835341033435234797976477184954485165992805445e-45
1.8325,8.6279470244399184495711887157209779679699049482446e-45
1.833,8.7192305096657896611271806810423861277983760271282e-45
1.8335,8.8099528477237489867364060385588825636235051439051e-45
1.834,8.9001320198331122819436620463921912906783806855331e-45
1.8345,8.9897851857806523927098877816918788025992375175085e-45
1.835,9.0789287348282213373567017649741043937947344627285e-45
1.8355,9.1675783326528360213919244846203779211961875363607e-45
1.836,9.2557489646905041036646010083389105096814340704358e-45
1.8365,9.3434549762137563229409693121383022831676396061153e-45
1.837,9.4307101094387030001562273844702368671132094588092e-45
1.8375,9.5175275379250376743789287567938629970679559843553e-45
1.838,9.6039198985065258297840163787268904847037209653726e-45
1.8385,9.68989932096433152105063280068575495229060117568e-45
1.839,9.7754774556353020588630967919880689467541150022893e-45
1.8395,9.860665499127060729142787466062990041282084400825e-45
1.84,9.9454742182963656548341820251873711249977606978991e-45
1.8405,1.002991397263120189001671648240204472874771038994e-44
1.841,1.0113994735164834966170970062860819858209979320125e-44
1.8415,1.0197726112036825929626804338066602250307956872062e-44
1.842,1.0281117360806746743315588504954857830160186380692e-44
1.8425,1.0364177407615774740854892148849820531598844045588e-44
1.843,1.0446914863283854265064995641905422008124377901741e-44
1.8435,1.0529338038421114152055488360314478191090556286182e-44
1.844,1.061145495762666415449439809158931917356928982946e-44
1.8445,1.0693273372840643239526907974617257474367021316803e-44
1.845,1.0774800775910806936933460001264876669064866899731e-44
1.8455,1.0856044410428557444792797206119304774331894398321e-44
1.846,1.0937011282886044421343103504647230410852858591366e-44
1.8465,1.1017708173200789029177913720202474304443079783017e-44
1.847,1.1098141644651521897486408313038298185357709328887e-44
1.8475,1.1178318053264204476392442054136123065151072408808e-44
1.848,1.1258243556685381067626807787471817057071543119554e-44
1.8485,1.1337924122576167325652428204403966972698242771102e-44
1.849,1.1417365536558591013674890749672392738180677731546e-44
1.8495,1.1496573409742361896525560938464335465233090951061e-44
1.85,1.1575553185859268226260279631261961203896365951546e-44
1.8505,1.1654310148029433321466839833269304899194904688378e-44
1.851,1.1732849425182844308247636270388303740275870588766e-44
1.8515,1.1811175998156646766472590728396441298355338716974e-44
1.852,1.1889294705488442756479215938908585915235981264889e-44
1.8525,1.1967210248923455412159037030939854666037183352504e-44
1.853,1.2044927198653115191934867194956187966792055144596e-44
1.8535,1.2122449998300194321952375096273442039541946669912e-44
1.854,1.219978296966577854067303884484371084383187128436e-44
1.8545,1.2276930317251395031239264700184878434634424423866e-44
1.855,1.2353896132569655790662381243777299514615809936134e-44
1.8555,1.2430684398254686492506926895199027190087066648031e-44
1.856,1.2507298991984059146050268524656439915648497863082e-44
1.8565,1.2583743690222258621221942811497378909001493689753e-44
1.857,1.2660022171795993416517900690199852611703310573646e-44
1.8575,1.2736138021309811303307545966017916557646729682565e-44
1.858,1.2812094732411126060448872086127892834009908633638e-44
1.8585,1.2887895710912273479646631037817080665104643872455e-44
1.859,1.2963544277777662446044445706727444630620407063411e-44
1.8595,1.3039043671982409028465114121943879721020851910666e-44
1.86,1.3114397053249624894618296734736378529752440180462e-44
1.8605,1.3189607504672187792288441592055616108438328452761e-44
1.861,1.3264678035225387415527277476537732164768113092982e-44
1.8615,1.3339611582175287507664796199227900272820500605777e-44
1.862,1.3414411013388525533267855691570941170172608786056e-44
1.8625,1.3489079129548033536800704803135280987003698693853e-44
1.863,1.3563618666279813319265659246676298743032752359346e-44
